lake_name,age_CE,summer_temperature,winter_temperature,summer_precipitation,winter_precipitation,layer,detrended_thickness,record_ID
Ayr Lake,1766,-1.1382202148437273,-29.188843790690072,34.13067372639974,12.395604451497396,varve,-0.33999999999999997,Ayr Lake - varve
Ayr Lake,1767,-1.3301554361979129,-29.73662414550779,34.330105463663735,12.397110939025879,varve,0.09999999999999998,Ayr Lake - varve
Ayr Lake,1768,-1.1061971028645416,-29.591930135091133,40.01214599609375,14.451446215311686,varve,1.46,Ayr Lake - varve
Ayr Lake,1769,-1.1623494466145416,-29.998058064778633,37.001748402913414,13.653262774149576,varve,-0.5700000000000001,Ayr Lake - varve
Ayr Lake,1770,-1.2500264485676666,-29.681305948893197,37.88683064778646,14.631702740987143,varve,-0.17000000000000004,Ayr Lake - varve
Ayr Lake,1771,-1.3580179850260379,-29.322292073567695,37.63154602050781,14.102718671162924,varve,0.8799999999999999,Ayr Lake - varve
Ayr Lake,1772,-1.4095011393229129,-30.127991739908822,36.768454233805336,13.400360107421875,varve,0.6299999999999999,Ayr Lake - varve
Ayr Lake,1773,-1.1410074869791629,-28.83196105957029,41.0676523844401,13.273408571879068,varve,0.6099999999999999,Ayr Lake - varve
Ayr Lake,1774,-1.0648457845051666,-29.924754842122383,35.677014668782554,14.163563092549643,varve,1.25,Ayr Lake - varve
Ayr Lake,1775,-1.2813476562499773,-30.069642130533822,36.89764912923177,11.311125755310059,varve,-0.16000000000000003,Ayr Lake - varve
Ayr Lake,1776,-1.2769836425781023,-29.83990071614582,37.32999801635742,13.393418629964193,varve,-0.12,Ayr Lake - varve
Ayr Lake,1777,-1.1051188151041629,-29.657130940755195,40.19302622477213,12.403313954671225,varve,-0.3500000000000001,Ayr Lake - varve
Ayr Lake,1778,-1.1330830891926666,-30.383027140299447,35.82825152079264,13.757498105367025,varve,-0.30000000000000004,Ayr Lake - varve
Ayr Lake,1779,-1.2769836425781023,-28.65873819986976,38.31853485107422,12.717270533243815,varve,-0.4300000000000001,Ayr Lake - varve
Ayr Lake,1780,-1.3305928548176666,-29.740418497721322,36.20337041219076,13.855316162109375,varve,0.34999999999999987,Ayr Lake - varve
Ayr Lake,1781,-1.0818339029947879,-29.538173421223945,38.683767318725586,14.568413734436035,varve,-0.33000000000000007,Ayr Lake - varve
Ayr Lake,1782,-1.0804809570312273,-29.465475463867165,33.9725030263265,12.95452626546224,varve,0.7100000000000002,Ayr Lake - varve
Ayr Lake,1783,-1.2845723470051666,-29.811437988281227,38.012332916259766,12.26165517171224,varve,0.6799999999999999,Ayr Lake - varve
Ayr Lake,1784,-1.3514872233072879,-29.598150634765602,34.96106211344401,12.68404738108317,varve,0.96,Ayr Lake - varve
Ayr Lake,1785,-0.9807596842447879,-28.745372517903633,41.115023930867515,13.47951889038086,varve,-0.41000000000000014,Ayr Lake - varve
Ayr Lake,1786,-1.1782491048176666,-30.48436584472654,38.17764790852865,14.636254946390787,varve,0,Ayr Lake - varve
Ayr Lake,1787,-0.9857137044270416,-29.207403564453102,38.80484263102213,12.918158213297525,varve,2.49,Ayr Lake - varve
