age_CE,light_lamin_thick,dark_lamin_thick,ref,lon,lat,varve_thick,lake_name
1965,0.08,0.018,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.098,Nar Gölü
1964,0.03,0.06,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.09,Nar Gölü
1963,0.025,0.025,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.05,Nar Gölü
1962,0.02,0.035,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.05500000000000001,Nar Gölü
1961,0.02,0.095,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.115,Nar Gölü
1960,0.04,0.057,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.097,Nar Gölü
1959,0.06,0.033,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.093,Nar Gölü
1958,0.072,0.055,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.127,Nar Gölü
1957,0.019,0,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.019,Nar Gölü
1956,0.012,0.041,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.053000000000000005,Nar Gölü
1955,0.029,0.076,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.105,Nar Gölü
1954,0.073,0.038,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.11099999999999999,Nar Gölü
1953,0.022,0.01,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.032,Nar Gölü
1952,0.044,0.059,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.103,Nar Gölü
1951,0.04,0.033,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.07300000000000001,Nar Gölü
1950,0.04,0,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.04,Nar Gölü
1949,0.01,0.03,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.04,Nar Gölü
1948,0.006,0.133,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.139,Nar Gölü
1947,0.05,0.02,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.07,Nar Gölü
1946,0.1,0.2,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.30000000000000004,Nar Gölü
1945,0.07,0.165,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.23500000000000001,Nar Gölü
1944,0.065,0.055,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.12,Nar Gölü
1943,0.007,0.031,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.038,Nar Gölü
1942,0.055,0.06,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.11499999999999999,Nar Gölü
1941,0.03,0.03,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.06,Nar Gölü
1940,0.034,0.086,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.12,Nar Gölü
1939,0.06,0.086,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.146,Nar Gölü
1938,0.02,0.028,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.048,Nar Gölü
1937,0.015,0.069,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.084,Nar Gölü
1936,0.042,0.02,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.062,Nar Gölü
1935,0.049,0.022,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.07100000000000001,Nar Gölü
1934,0.044,0.036,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.07999999999999999,Nar Gölü
1933,0.042,0.029,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.07100000000000001,Nar Gölü
1932,0.031,0.034,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.065,Nar Gölü
1931,0.046,0.066,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.112,Nar Gölü
1930,0.055,0.051,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.106,Nar Gölü
1929,0.085,0.024,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.10900000000000001,Nar Gölü
