lake_name,lat,lon,age_CE,layer,thickness,source,ref,country,continent,anomaly,value_of_anomaly,unit4anomaly
Chevalier,75.05,-111.5,2008,dark layer,1.55,PANGAEA,"Amann, Benjamin; Lamoureux, Scott F; Boreux, Maxime P (2018): 340-yr winter temperature reconstruction, Chevalier Bay, Melville Island, Canadian High Arctic [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.895170, Supplement to: Amann, B et al. (2017): Winter temperature conditions (1670–2010) reconstructed from varved sediments, western Canadian High Arctic. Quaternary Science Reviews, 172, 1-14, https://doi.org/10.1016/j.quascirev.2017.07.013",Canada,North America,Summer precipitation in 1816,104.70544037223992,%
Chevalier,75.05,-111.5,2008,dark layer,1.55,PANGAEA,"Amann, Benjamin; Lamoureux, Scott F; Boreux, Maxime P (2018): 340-yr winter temperature reconstruction, Chevalier Bay, Melville Island, Canadian High Arctic [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.895170, Supplement to: Amann, B et al. (2017): Winter temperature conditions (1670–2010) reconstructed from varved sediments, western Canadian High Arctic. Quaternary Science Reviews, 172, 1-14, https://doi.org/10.1016/j.quascirev.2017.07.013",Canada,North America,Winter temperature in 1816/1817,-0.7088352115240752,°C
Chevalier,75.05,-111.5,2008,dark layer,1.55,PANGAEA,"Amann, Benjamin; Lamoureux, Scott F; Boreux, Maxime P (2018): 340-yr winter temperature reconstruction, Chevalier Bay, Melville Island, Canadian High Arctic [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.895170, Supplement to: Amann, B et al. (2017): Winter temperature conditions (1670–2010) reconstructed from varved sediments, western Canadian High Arctic. Quaternary Science Reviews, 172, 1-14, https://doi.org/10.1016/j.quascirev.2017.07.013",Canada,North America,Winter precipitation in 1816/1817,80.49819957269483,%
Donard,66.6625264,-61.7874877,1992,varve,0.39,VARDA,"Moore, J.J. et al., 2001. Journal of Paleolimnology, 25(4), pp.503–517. Available at: http://dx.doi.org/10.1023/A:1011181301514.",Canada,North America,Summer temperature in 1816,-0.34421723117134206,°C
Donard,66.6625264,-61.7874877,1992,varve,0.39,VARDA,"Moore, J.J. et al., 2001. Journal of Paleolimnology, 25(4), pp.503–517. Available at: http://dx.doi.org/10.1023/A:1011181301514.",Canada,North America,Summer precipitation in 1816,99.11650416152004,%
Donard,66.6625264,-61.7874877,1992,varve,0.39,VARDA,"Moore, J.J. et al., 2001. Journal of Paleolimnology, 25(4), pp.503–517. Available at: http://dx.doi.org/10.1023/A:1011181301514.",Canada,North America,Winter temperature in 1816/1817,-4.241685621809268,°C
Donard,66.6625264,-61.7874877,1992,varve,0.39,VARDA,"Moore, J.J. et al., 2001. Journal of Paleolimnology, 25(4), pp.503–517. Available at: http://dx.doi.org/10.1023/A:1011181301514.",Canada,North America,Winter precipitation in 1816/1817,62.3350757643506,%
East Lake,74.88821123,-109.5341661,2005,varve,0.529,VARDA,"Cuven, S., Francus, P. & Lamoureux, S., 2011. Mid to Late Holocene hydroclimatic and geochemical records from the varved sediments of East Lake, Cape Bounty, Canadian High Arctic. Quaternary Science Reviews, 30(19-20), pp.2651–2665. Available at: http://dx.doi.org/10.1016/j.quascirev.2011.05.019.",Canada,North America,Summer temperature in 1816,-0.16797801606332996,°C
East Lake,74.88821123,-109.5341661,2005,varve,0.529,VARDA,"Cuven, S., Francus, P. & Lamoureux, S., 2011. Mid to Late Holocene hydroclimatic and geochemical records from the varved sediments of East Lake, Cape Bounty, Canadian High Arctic. Quaternary Science Reviews, 30(19-20), pp.2651–2665. Available at: http://dx.doi.org/10.1016/j.quascirev.2011.05.019.",Canada,North America,Summer precipitation in 1816,98.1513227117506,%
East Lake,74.88821123,-109.5341661,2005,varve,0.529,VARDA,"Cuven, S., Francus, P. & Lamoureux, S., 2011. Mid to Late Holocene hydroclimatic and geochemical records from the varved sediments of East Lake, Cape Bounty, Canadian High Arctic. Quaternary Science Reviews, 30(19-20), pp.2651–2665. Available at: http://dx.doi.org/10.1016/j.quascirev.2011.05.019.",Canada,North America,Winter temperature in 1816/1817,-0.5060866453466417,°C
